seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	1141823	1141990	168	*	X0002	8784	1138888	1142089	3202	-	0	inside	98	TNFRSF18
chr1	1167951	1168111	161	*	X0003	51150	1152288	1167447	15160	-	503	upstream	503	SDF4
chr1	1370752	1370986	235	*	X0004	64856	1370903	1378262	7360	+	0	overlapStart	0	VWA1
chr1	1935384	1935384	1	*	X0006	85452	1884752	1935276	50525	-	107	upstream	107	CFAP74
chr1	2139342	2139413	72	*	X0008	199990	2115899	2139172	23274	-	169	upstream	169	FAAP20
chr1	10490364	10490400	37	*	X0022	100526739	10490159	10512060	21902	+	0	inside	204	CENPS-CORT
chr1	10490364	10490400	37	*	X0022	378708	10490159	10502872	12714	+	0	inside	204	CENPS
chr1	10856905	10856976	72	*	X0024	54897	10696666	10856733	160068	-	171	upstream	171	CASZ1
chr1	11919127	11919229	103	*	X0027	4879	11917521	11918992	1472	-	134	upstream	134	NPPB
chr1	16940210	16940386	177	*	X0029	55672	16888922	16940100	51179	-	109	upstream	109	NBPF1
chr1	16971266	16971495	230	*	X0030	11209	16972069	16976915	4847	+	573	upstream	573	MST1P2
chr1	16971266	16971495	230	*	X0030	84809	16944751	16971178	26428	-	87	upstream	87	CROCCP2
chr1	21672540	21672548	9	*	X0033	1889	21543740	21672034	128295	-	505	upstream	505	ECE1
chr1	24285557	24285599	43	*	X0034	55629	24286301	24289949	3649	+	701	upstream	701	PNRC2
chr1	27021918	27021929	12	*	X0035	8289	27022522	27108601	86080	+	592	upstream	592	ARID1A
chr1	31191616	31191800	185	*	X0040	100129196	31191619	31199593	7975	+	0	overlapStart	0	MATN1-AS1
chr1	32827026	32827122	97	*	X0041	81629	32827862	32829924	2063	+	739	upstream	739	TSSK3
chr1	36554305	36554306	2	*	X0048	54936	36554453	36559533	5081	+	146	upstream	146	ADPRS
chr1	38513135	38513185	51	*	X0051	5453	38509523	38512450	2928	-	684	upstream	684	POU3F1
chr1	38513209	38513260	52	*	X0052	5453	38509523	38512450	2928	-	758	upstream	758	POU3F1
chr1	40156971	40157063	93	*	X0053	51440	40144645	40157089	12445	-	0	inside	25	HPCAL4
chr1	41249183	41249296	114	*	X0057	9132	41249684	41306124	56441	+	387	upstream	387	KCNQ4
chr1	43996372	43996428	57	*	X0061	5792	43996547	44089343	92797	+	118	upstream	118	PTPRF
chr1	59043301	59043319	19	*	X0076	4070	59041095	59043166	2072	-	134	upstream	134	TACSTD2
